Sample_Code,Labcode,Fumonisin_bulk_ppm,Fumonisin_accept_ppm,Fumonisin_reject_ppm,Mass_accept_g,Mass_reject_g
1,MS2020/08,3.98107171,0.31622777,125.89254118,87.60,0.60
2,MS2020/12,3.98107171,0.00501187,25.11886432,85.70,0.80
3,MS2020/13,15.84893192,3.16227766,31.62277660,83.30,11.60
4,MS2020/16,3.98107171,0.03981072,125.89254118,88.50,2.80
5,MS2020/17,31.62277660,0.15848932,10.00000000,85.60,1.60
6,MS2020/25,19.95262315,0.07943282,15.84893192,86.00,3.00
7,MS2020/28,3.16227766,0.02511886,25.11886432,86.10,0.90
8,MS2020/31,31.62277660,0.10000000,12.58925412,85.30,3.90
9,MS2020/34,50.11872336,3.98107171,15.84893192,62.40,30.00
10,MS2020/35,2.51188643,1.99526231,0.00501187,92.20,0.70
11,MS2020/36,2.51188643,0.07943282,10.00000000,84.30,6.70
12,MS2020/39,31.62277660,0.39810717,31.62277660,88.10,4.70
13,MS2020/56,5.01187234,0.07943282,39.81071706,89.60,0.60
14,MS2020/59,1.99526231,0.79432823,0.00501187,84.80,1.20
15,MS2020/63,3.98107171,0.00501187,1.00000000,87.80,0.20
16,MS2020/65,3.16227766,0.19952623,39.81071706,84.30,0.70
17,MS2020/74,3.98107171,0.00501187,0.00501187,85.60,1.60
18,MS2020/84,5.01187234,0.00501187,19.95262315,86.80,0.20
19,MS2020/95,2.51188643,1.58489319,100.00000000,86.60,0.50
20,MS2020/97,5.01187234,0.00501187,0.00501187,86.80,0.00
21,MS2020/103,3.16227766,0.00501187,100.00000000,86.70,1.90
22,MS2020/119,2.51188643,0.00501187,1.00000000,69.40,15.60
23,MS2020/122,1.99526231,0.50118723,15.84893192,76.90,11.60
